test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	regulation
ENSMUSG00000030105	ENSMUSG00000030105	Arl8b	6:108783098-108825278	XH_16_17_18	XH_19_20_21	OK	22.8009	25.9389	0.186026528259381	0.332824	0.55085	0.998171	no	-
ENSMUSG00000096054	ENSMUSG00000096054	Syne1	10:5020916-5551482	XH_16_17_18	XH_19_20_21	OK	0.714189	1.27211	0.832845607896174	1.21348	0.03545	0.429819	no	-
ENSMUSG00000020495	ENSMUSG00000020495	Smg8	11:87077731-87086774	XH_16_17_18	XH_19_20_21	OK	24.4931	27.1227	0.147125420498311	0.472053	0.415	0.977575	no	-
ENSMUSG00000058979	ENSMUSG00000058979	Hdhd5	6:120509493-120531319	XH_16_17_18	XH_19_20_21	OK	12.0934	10.6942	-0.17739134524918	-0.458581	0.4186	0.978356	no	-
ENSMUSG00000038045	ENSMUSG00000038045	Sult6b1	17:78852563-78906992	XH_16_17_18	XH_19_20_21	OK	3.52929	11.3781	1.68880978014552	1.52846	0.0322	0.409463	no	-
ENSMUSG00000118263	ENSMUSG00000118263	AC125059.4	19:5298330-5308738	XH_16_17_18	XH_19_20_21	OK	1.35929	1.23641	-0.136696055356102	-0.07957	0.91925	0.998171	no	-
ENSMUSG00000027333	ENSMUSG00000027333	Smox	2:131491495-131525922	XH_16_17_18	XH_19_20_21	OK	8.50018	8.18909	-0.0537902486048503	-0.111837	0.83365	0.998171	no	-
ENSMUSG00000025237	ENSMUSG00000025237	Parp6	9:59617283-59650285	XH_16_17_18	XH_19_20_21	OK	5.10891	6.21154	0.281935472838056	0.461784	0.386	0.967038	no	-
ENSMUSG00000006299	ENSMUSG00000006299	Aamp	1:74279839-74284738	XH_16_17_18	XH_19_20_21	OK	125.967	116.574	-0.111799781591694	-0.361042	0.49805	0.998088	no	-
ENSMUSG00000036792	ENSMUSG00000036792	Mbd5	2:48814108-49325405	XH_16_17_18	XH_19_20_21	OK	2.82577	3.01264	0.0923842420936207	0.0541821	0.8459	0.998171	no	-
ENSMUSG00000021287	ENSMUSG00000021287	Xrcc3	12:111758848-111813873	XH_16_17_18	XH_19_20_21	OK	10.8611	8.80402	-0.302935897373027	-0.374103	0.37655	0.962767	no	-
ENSMUSG00000041241	ENSMUSG00000041241	Mul1	4:138434670-138442265	XH_16_17_18	XH_19_20_21	OK	14.8354	19.6562	0.405940616115823	0.546614	0.34355	0.945492	no	-
ENSMUSG00000021368	ENSMUSG00000021368	Tbc1d7	13:43151739-43171501	XH_16_17_18	XH_19_20_21	OK	18.4482	16.1684	-0.190303139691184	-0.455952	0.4174	0.978356	no	-
ENSMUSG00000041607	ENSMUSG00000041607	Mbp	18:82475145-82585637	XH_16_17_18	XH_19_20_21	OK	1.88919	2.94138	0.638725375525688	0.923456	0.0291	0.389459	no	-
ENSMUSG00000109864	ENSMUSG00000109864	Eid3	10:82833950-82897712	XH_16_17_18	XH_19_20_21	OK	1.66691	2.5541	0.615638799335377	0.143769	0.72945	0.998171	no	-
ENSMUSG00000001053	ENSMUSG00000001053	N4bp3	11:51643062-51650842	XH_16_17_18	XH_19_20_21	OK	23.4307	23.3441	-0.00534208733307535	-0.0160658	0.97795	0.998392	no	-
ENSMUSG00000085787	ENSMUSG00000085787	Gm13092	4:150281645-150621966	XH_16_17_18	XH_19_20_21	OK	47.3725	76.5349	0.692067958787495	0.333787	0.58785	0.998171	no	-
ENSMUSG00000030374	ENSMUSG00000030374	Strn4	7:16809245-16840931	XH_16_17_18	XH_19_20_21	OK	56.7584	43.9563	-0.368763967638778	-0.858934	0.1118	0.695079	no	-
ENSMUSG00000034297	ENSMUSG00000034297	Med13	11:86201369-86357602	XH_16_17_18	XH_19_20_21	OK	10.7166	14.1323	0.399149018119784	0.479472	0.1668	0.7928	no	-
ENSMUSG00000032298	ENSMUSG00000032298	Neil1	9:57142799-57148305	XH_16_17_18	XH_19_20_21	OK	4.01407	3.23654	-0.310613441513126	-0.597839	0.29955	0.919964	no	-
ENSMUSG00000116558	ENSMUSG00000116558	Gm49697	12:20312514-20312640	XH_16_17_18	XH_19_20_21	OK	171.815	267.625	0.639356896736582	0.505446	0.3976	0.969815	no	-
ENSMUSG00000022900	ENSMUSG00000022900	Ildr1	16:36693977-36726804	XH_16_17_18	XH_19_20_21	OK	4.86952	6.65872	0.45146530644109	1.07381	0.05765	0.529799	no	-
ENSMUSG00000038459	ENSMUSG00000038459	Abhd17c	7:84109355-84151893	XH_16_17_18	XH_19_20_21	OK	24.1352	19.7901	-0.28635987955617	-0.865281	0.1266	0.728207	no	-
ENSMUSG00000001441	ENSMUSG00000001441	Npepps	11:97205841-97282897	XH_16_17_18	XH_19_20_21	OK	68.847	88.4641	0.361698317167143	0.938867	0.0483	0.49227	no	-
ENSMUSG00000030754	ENSMUSG00000030754	Copb1	7:114215558-114254711	XH_16_17_18	XH_19_20_21	OK	41.1941	45.4238	0.14101067895255	0.475539	0.39375	0.969326	no	-
ENSMUSG00000078851	ENSMUSG00000078851	Hist3h2a	11:58954684-58978050	XH_16_17_18	XH_19_20_21	OK	1.51672	9.53021	2.6515532287151	4.59304	5e-05	0.00468291	yes	up
