test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	regulation
ENSMUSG00000078851	ENSMUSG00000078851	Hist3h2a	11:58954684-58978050	XH_16_17_18	XH_19_20_21	OK	1.51672	9.53021	2.6515532287151	4.59304	5e-05	0.00468291	yes	up
ENSMUSG00000031163	ENSMUSG00000031163	Glod5	X:8004199-8018492	XH_16_17_18	XH_19_20_21	OK	1.58031	5.11737	1.69519495690264	2.37289	0.0002	0.0144655	yes	up
ENSMUSG00000040584	ENSMUSG00000040584	Abcb1a	5:8660076-8748575	XH_16_17_18	XH_19_20_21	OK	1.73616	3.94279	1.18331696305096	1.93538	0.0002	0.0144655	yes	up
ENSMUSG00000014773	ENSMUSG00000014773	Dll1	17:15367353-15379475	XH_16_17_18	XH_19_20_21	OK	7.93364	21.7226	1.45314195133022	2.38696	5e-05	0.00468291	yes	up
ENSMUSG00000045009	ENSMUSG00000045009	Prrt3	6:113493638-113501931	XH_16_17_18	XH_19_20_21	OK	1.91664	3.99165	1.05840584341882	2.16909	5e-05	0.00468291	yes	up
ENSMUSG00000071267	ENSMUSG00000071267	Zfp942	17:21926959-21962464	XH_16_17_18	XH_19_20_21	OK	0.96223	2.38303	1.30834342878195	2.1331	0.0005	0.0294552	yes	up
ENSMUSG00000058173	ENSMUSG00000058173	Smco4	9:15493431-15545260	XH_16_17_18	XH_19_20_21	OK	11.2681	4.46796	-1.3345560971646	-2.51744	5e-05	0.00468291	yes	down
ENSMUSG00000030401	ENSMUSG00000030401	Rtn2	7:19282623-19296160	XH_16_17_18	XH_19_20_21	OK	14.0885	6.64184	-1.08486314208218	-2.40667	5e-05	0.00468291	yes	down
ENSMUSG00000028278	ENSMUSG00000028278	Rragd	4:32983036-33022180	XH_16_17_18	XH_19_20_21	OK	4.01171	9.46545	1.23845377554979	2.31006	0.00035	0.0227112	yes	up
ENSMUSG00000038763	ENSMUSG00000038763	Alpk3	7:81057599-81105612	XH_16_17_18	XH_19_20_21	OK	0.876109	2.82217	1.68762261746165	1.85625	0.00015	0.0116579	yes	up
ENSMUSG00000103322	ENSMUSG00000103322	Gm37404	3:62123206-62123565	XH_16_17_18	XH_19_20_21	OK	17.5424	58.5231	1.73816005344173	3.46665	5e-05	0.00468291	yes	up
ENSMUSG00000031216	ENSMUSG00000031216	Stard8	X:99003247-99074728	XH_16_17_18	XH_19_20_21	OK	1.28269	4.15052	1.69411955396138	2.94204	5e-05	0.00468291	yes	up
ENSMUSG00000029235	ENSMUSG00000029235	Pdcl2	5:76312114-76331156	XH_16_17_18	XH_19_20_21	OK	0.801863	2.98252	1.89510413696006	2.63099	5e-05	0.00468291	yes	up
ENSMUSG00000091405	ENSMUSG00000091405	Hist2h4	3:96261681-96263311	XH_16_17_18	XH_19_20_21	OK	0.183906	2.38467	3.69674918015803	4.06473	5e-05	0.00468291	yes	up
ENSMUSG00000018411	ENSMUSG00000018411	Mapt	11:104231389-104332090	XH_16_17_18	XH_19_20_21	OK	6.65611	17.0213	1.35459004590305	2.01422	0.0004	0.024814	yes	up
ENSMUSG00000053367	ENSMUSG00000053367	Epp13	7:6252709-6282066	XH_16_17_18	XH_19_20_21	OK	7.89451	16.0527	1.02389434516631	2.07852	0.00035	0.0227112	yes	up
ENSMUSG00000072761	ENSMUSG00000072761	Gm6712	17:17294442-17319511	XH_16_17_18	XH_19_20_21	OK	3.00534	10.854	1.85262669359532	2.75838	5e-05	0.00468291	yes	up
ENSMUSG00000021379	ENSMUSG00000021379	Id4	13:48044230-48266026	XH_16_17_18	XH_19_20_21	OK	0.873721	1.94828	1.15695646004992	2.21044	0.0003	0.0201201	yes	up
ENSMUSG00000051627	ENSMUSG00000051627	Hist1h1e	13:23583669-23622558	XH_16_17_18	XH_19_20_21	OK	0.309569	9.92677	5.00299145252511	4.87798	5e-05	0.00468291	yes	up
ENSMUSG00000090877	ENSMUSG00000090877	Hspa1b	17:34956435-34959238	XH_16_17_18	XH_19_20_21	OK	4.31053	2.11954	-1.0241140731635	-2.25258	0.00015	0.0116579	yes	down
ENSMUSG00000107167	ENSMUSG00000107167	Gm34653	2:34833006-34839728	XH_16_17_18	XH_19_20_21	OK	0.322127	1.63797	2.3462074392196	2.95614	5e-05	0.00468291	yes	up
ENSMUSG00000001802	ENSMUSG00000001802	Lrp3	7:35186384-35215498	XH_16_17_18	XH_19_20_21	OK	2.89613	1.24822	-1.21425412980278	-2.34459	5e-05	0.00468291	yes	down
ENSMUSG00000022610	ENSMUSG00000022610	Mapk12	15:89130583-89140703	XH_16_17_18	XH_19_20_21	OK	9.32865	4.59122	-1.02279075177278	-1.97249	0.00085	0.043828	yes	down
ENSMUSG00000029313	ENSMUSG00000029313	Aff1	5:103692373-103855322	XH_16_17_18	XH_19_20_21	OK	4.62949	12.1548	1.39260097960102	3.03454	5e-05	0.00468291	yes	up
ENSMUSG00000022270	ENSMUSG00000022270	Retreg1	15:25843179-25973687	XH_16_17_18	XH_19_20_21	OK	1.51945	3.59437	1.24218972434492	1.89025	5e-05	0.00468291	yes	up
ENSMUSG00000029361	ENSMUSG00000029361	Nos1	5:117781031-117958840	XH_16_17_18	XH_19_20_21	OK	0.75502	1.69103	1.16331548821578	1.9224	0.0001	0.00844243	yes	up
ENSMUSG00000060678	ENSMUSG00000060678	Hist1h4c	13:23697634-23698454	XH_16_17_18	XH_19_20_21	OK	1.208	28.7337	4.57205141896166	6.93185	5e-05	0.00468291	yes	up
ENSMUSG00000053559	ENSMUSG00000053559	Smagp	15:100621338-100636940	XH_16_17_18	XH_19_20_21	OK	28.1882	14.0874	-1.0006859859806	-2.34616	5e-05	0.00468291	yes	down
ENSMUSG00000040213	ENSMUSG00000040213	Kyat3	3:142701050-142746870	XH_16_17_18	XH_19_20_21	OK	5.56277	12.7046	1.19147559152054	2.29374	0.00025	0.0173995	yes	up
ENSMUSG00000058773	ENSMUSG00000058773	Hist1h1b	13:21779882-21780625	XH_16_17_18	XH_19_20_21	OK	0.795544	43.8729	5.78524453603358	7.96285	5e-05	0.00468291	yes	up
ENSMUSG00000096010	ENSMUSG00000096010	Hist4h4	6:136801552-136804415	XH_16_17_18	XH_19_20_21	OK	0.133454	1.78909	3.74481151089224	4.49352	5e-05	0.00468291	yes	up
ENSMUSG00000002847	ENSMUSG00000002847	Pla1a	16:38396116-38433145	XH_16_17_18	XH_19_20_21	OK	0.882445	2.52568	1.51709359564146	2.06578	5e-05	0.00468291	yes	up
ENSMUSG00000010342	ENSMUSG00000010342	Tex14	11:87405064-87555823	XH_16_17_18	XH_19_20_21	OK	4.25536	11.8431	1.47669367116434	2.99804	5e-05	0.00468291	yes	up
ENSMUSG00000028874	ENSMUSG00000028874	Fgr	4:132974094-133001910	XH_16_17_18	XH_19_20_21	OK	1.10037	2.42914	1.14245692772474	1.90769	0.00065	0.035541	yes	up
ENSMUSG00000058600	ENSMUSG00000058600	Rpl30	15:34440504-34444812	XH_16_17_18	XH_19_20_21	OK	1518.97	696.654	-1.1245791660414	-2.65854	5e-05	0.00468291	yes	down
ENSMUSG00000095180	ENSMUSG00000095180	Rhox5	X:37804841-37808876	XH_16_17_18	XH_19_20_21	OK	254.12	723.459	1.50940133414666	4.78793	5e-05	0.00468291	yes	up
ENSMUSG00000031770	ENSMUSG00000031770	Herpud1	8:94377871-94395377	XH_16_17_18	XH_19_20_21	OK	40.6304	17.2734	-1.23400748486094	-3.0599	5e-05	0.00468291	yes	down
ENSMUSG00000031337	ENSMUSG00000031337	Mtm1	X:71210766-71315691	XH_16_17_18	XH_19_20_21	OK	1.42942	3.95407	1.467908532457	3.02574	5e-05	0.00468291	yes	up
ENSMUSG00000042524	ENSMUSG00000042524	Sun2	15:79724069-79742536	XH_16_17_18	XH_19_20_21	OK	3.90087	5137.89	10.3631643677011	15.2095	5e-05	0.00468291	yes	up
ENSMUSG00000020330	ENSMUSG00000020330	Hmmr	11:40701394-40733422	XH_16_17_18	XH_19_20_21	OK	27.1468	54.3467	1.00141028905059	3.10811	5e-05	0.00468291	yes	up
ENSMUSG00000101972	ENSMUSG00000101972	Hist1h3i	13:21782959-21783370	XH_16_17_18	XH_19_20_21	OK	0.983248	21.1786	4.42890806705316	4.63924	5e-05	0.00468291	yes	up
ENSMUSG00000001158	ENSMUSG00000001158	Snrnp27	6:86675150-86684522	XH_16_17_18	XH_19_20_21	OK	45.6758	91.8162	1.00731872690999	2.22958	0.00025	0.0173995	yes	up
ENSMUSG00000033255	ENSMUSG00000033255	Gm5134	10:75954513-76009591	XH_16_17_18	XH_19_20_21	OK	0.200846	1.0168	2.33987430103631	2.71734	5e-05	0.00468291	yes	up
ENSMUSG00000024424	ENSMUSG00000024424	Ttc39c	18:12599895-12738863	XH_16_17_18	XH_19_20_21	OK	1.70956	8.09191	2.24285521644726	3.29793	5e-05	0.00468291	yes	up
ENSMUSG00000028536	ENSMUSG00000028536	2610528J11Rik	4:118526998-118530228	XH_16_17_18	XH_19_20_21	OK	5.23778	2.02543	-1.37072723858866	-2.09912	0.0006	0.0336119	yes	down
ENSMUSG00000025038	ENSMUSG00000025038	Efhc2	X:17132048-17319368	XH_16_17_18	XH_19_20_21	OK	0.221205	0.989643	2.16152419094121	2.7573	5e-05	0.00468291	yes	up
ENSMUSG00000062727	ENSMUSG00000062727	Hist1h2bk	13:22035869-22036345	XH_16_17_18	XH_19_20_21	OK	2.1017	28.6368	3.76824163209488	5.47369	5e-05	0.00468291	yes	up
ENSMUSG00000028392	ENSMUSG00000028392	Bspry	4:62480052-62497298	XH_16_17_18	XH_19_20_21	OK	17.4084	8.37822	-1.05506793857179	-2.76759	5e-05	0.00468291	yes	down
ENSMUSG00000021098	ENSMUSG00000021098	4930447C04Rik	12:72881108-72944899	XH_16_17_18	XH_19_20_21	OK	14.1971	35.0173	1.30247158468881	2.42535	0.0001	0.00844243	yes	up
ENSMUSG00000025934	ENSMUSG00000025934	Gsta3	1:21240588-21271593	XH_16_17_18	XH_19_20_21	OK	2.07998	5.38232	1.37165851116572	2.17055	0.0004	0.024814	yes	up
ENSMUSG00000038155	ENSMUSG00000038155	Gstp2	19:4040284-4046023	XH_16_17_18	XH_19_20_21	OK	19.9642	44.6709	1.16192005956221	2.84167	5e-05	0.00468291	yes	up
ENSMUSG00000027855	ENSMUSG00000027855	Sycp1	3:102818498-102936100	XH_16_17_18	XH_19_20_21	OK	2.35706	8.2675	1.81046265692347	2.33537	0.0002	0.0144655	yes	up
