test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	regulation
ENSMUSG00000026443	ENSMUSG00000026443	Lrrn2	1:132880272-132940005	XH_16_17_18	XH_22_23_24	OK	0.136352	0.905835	2.73191242212764	2.3495	5e-05	0.00468291	yes	up
ENSMUSG00000026628	ENSMUSG00000026628	Atf3	1:191170295-191218039	XH_16_17_18	XH_22_23_24	OK	18.535	8.68543	-1.09358293410693	-2.57964	5e-05	0.00468291	yes	down
ENSMUSG00000027347	ENSMUSG00000027347	Rasgrp1	2:117279992-117343001	XH_16_17_18	XH_22_23_24	OK	0.682689	1.72824	1.34000316651144	2.1782	0.00015	0.0116579	yes	up
ENSMUSG00000078503	ENSMUSG00000078503	Zfp990	4:145510758-145539188	XH_16_17_18	XH_22_23_24	OK	2.43509	10.3246	2.08403888936324	2.01729	0.0008	0.0417436	yes	up
ENSMUSG00000030103	ENSMUSG00000030103	Bhlhe40	6:108577038-108666925	XH_16_17_18	XH_22_23_24	OK	12.9517	5.43913	-1.25169366100946	-2.09653	5e-05	0.00468291	yes	down
ENSMUSG00000031216	ENSMUSG00000031216	Stard8	X:99003247-99074728	XH_16_17_18	XH_22_23_24	OK	1.28269	3.92183	1.61235445762296	2.6915	5e-05	0.00468291	yes	up
ENSMUSG00000053367	ENSMUSG00000053367	Epp13	7:6252709-6282066	XH_16_17_18	XH_22_23_24	OK	7.89451	16.4358	1.05792005207361	2.16061	0.00015	0.0116579	yes	up
ENSMUSG00000024422	ENSMUSG00000024422	Dhx16	17:35879818-35892670	XH_16_17_18	XH_22_23_24	OK	98.5377	199.424	1.01709134087592	2.23077	0.00015	0.0116579	yes	up
ENSMUSG00000042686	ENSMUSG00000042686	Jph1	1:16898184-17097889	XH_16_17_18	XH_22_23_24	OK	1.90274	0.583205	-1.70600344443635	-2.75788	5e-05	0.00468291	yes	down
ENSMUSG00000115428	ENSMUSG00000115428	Gm41290	15:34021994-34037780	XH_16_17_18	XH_22_23_24	OK	0.241153	0.992726	2.04144682010814	2.46799	0.0007	0.0379718	yes	up
ENSMUSG00000107167	ENSMUSG00000107167	Gm34653	2:34833006-34839728	XH_16_17_18	XH_22_23_24	OK	0.322127	1.40793	2.12787411276547	2.68687	5e-05	0.00468291	yes	up
ENSMUSG00000069793	ENSMUSG00000069793	Slfn9	11:82978389-82991830	XH_16_17_18	XH_22_23_24	OK	2.49465	0.933062	-1.4187925658818	-2.55565	5e-05	0.00468291	yes	down
ENSMUSG00000001802	ENSMUSG00000001802	Lrp3	7:35186384-35215498	XH_16_17_18	XH_22_23_24	OK	2.89613	1.2811	-1.17674326898303	-2.07941	0.0004	0.024814	yes	down
ENSMUSG00000029313	ENSMUSG00000029313	Aff1	5:103692373-103855322	XH_16_17_18	XH_22_23_24	OK	4.62949	11.6615	1.33282819674575	2.94394	5e-05	0.00468291	yes	up
ENSMUSG00000029361	ENSMUSG00000029361	Nos1	5:117781031-117958840	XH_16_17_18	XH_22_23_24	OK	0.75502	1.70455	1.17480415290888	1.8954	0.0001	0.00844243	yes	up
ENSMUSG00000004948	ENSMUSG00000004948	Zp3	5:135980098-135988624	XH_16_17_18	XH_22_23_24	OK	4.14937	9.43602	1.18528616812934	2.50691	5e-05	0.00468291	yes	up
ENSMUSG00000002847	ENSMUSG00000002847	Pla1a	16:38396116-38433145	XH_16_17_18	XH_22_23_24	OK	0.882445	2.58449	1.55030135247907	2.26922	5e-05	0.00468291	yes	up
ENSMUSG00000006313	ENSMUSG00000006313	Upk1a	7:30603091-30612847	XH_16_17_18	XH_22_23_24	OK	2.81111	5.89388	1.06807777921292	2.12836	0.0004	0.024814	yes	up
ENSMUSG00000031770	ENSMUSG00000031770	Herpud1	8:94377871-94395377	XH_16_17_18	XH_22_23_24	OK	40.6304	17.4568	-1.21877044447632	-3.01874	5e-05	0.00468291	yes	down
ENSMUSG00000042524	ENSMUSG00000042524	Sun2	15:79724069-79742536	XH_16_17_18	XH_22_23_24	OK	3.90087	772.137	7.628917116806	15.1278	5e-05	0.00468291	yes	up
ENSMUSG00000046879	ENSMUSG00000046879	Irgm1	11:48861967-48871683	XH_16_17_18	XH_22_23_24	OK	3.28045	7.19391	1.13288237864267	2.48558	5e-05	0.00468291	yes	up
ENSMUSG00000030717	ENSMUSG00000030717	Nupr1	7:126623248-126630861	XH_16_17_18	XH_22_23_24	OK	32.8191	12.7839	-1.36020764811501	-3.10071	5e-05	0.00468291	yes	down
ENSMUSG00000033255	ENSMUSG00000033255	Gm5134	10:75954513-76009591	XH_16_17_18	XH_22_23_24	OK	0.200846	1.01257	2.33386001200972	2.68964	5e-05	0.00468291	yes	up
ENSMUSG00000024424	ENSMUSG00000024424	Ttc39c	18:12599895-12738863	XH_16_17_18	XH_22_23_24	OK	1.70956	8.84187	2.37072646526434	3.51548	5e-05	0.00468291	yes	up
ENSMUSG00000025038	ENSMUSG00000025038	Efhc2	X:17132048-17319368	XH_16_17_18	XH_22_23_24	OK	0.221205	0.908074	2.03742587334197	2.66789	0.00015	0.0116579	yes	up
ENSMUSG00000039337	ENSMUSG00000039337	Tex19.2	11:121116214-121118677	XH_16_17_18	XH_22_23_24	OK	1.94696	4.4423	1.19008358068925	2.36244	0.0001	0.00844243	yes	up
ENSMUSG00000095661	ENSMUSG00000095661	Gm8935	3:12855835-12858633	XH_16_17_18	XH_22_23_24	OK	1.57748	3.43098	1.12099900191887	2.32289	0.00035	0.0227112	yes	up
ENSMUSG00000025934	ENSMUSG00000025934	Gsta3	1:21240588-21271593	XH_16_17_18	XH_22_23_24	OK	2.07998	5.10683	1.29585837809952	2.05119	0.0008	0.0417436	yes	up
ENSMUSG00000027855	ENSMUSG00000027855	Sycp1	3:102818498-102936100	XH_16_17_18	XH_22_23_24	OK	2.35706	7.07407	1.58555201150763	1.96385	0.00055	0.0316616	yes	up
ENSMUSG00000037833	ENSMUSG00000037833	Sh2d4b	14:40813788-40893266	XH_16_17_18	XH_22_23_24	OK	0.418091	1.46637	1.81036028287279	2.33075	0.00035	0.0227112	yes	up
ENSMUSG00000032715	ENSMUSG00000032715	Trib3	2:152337421-152344032	XH_16_17_18	XH_22_23_24	OK	37.3233	14.4397	-1.37003578102199	-3.757	5e-05	0.00468291	yes	down
ENSMUSG00000115483	ENSMUSG00000115483	Gm9732	14:43275035-43306011	XH_16_17_18	XH_22_23_24	OK	0.839461	3.33316	1.98935536551929	2.96788	5e-05	0.00468291	yes	up
ENSMUSG00000061751	ENSMUSG00000061751	Kalrn	16:33969072-34573532	XH_16_17_18	XH_22_23_24	OK	0.981149	2.30675	1.23331750683226	1.73023	0.0004	0.024814	yes	up
ENSMUSG00000085101	ENSMUSG00000085101	Platr16	4:145410244-145450888	XH_16_17_18	XH_22_23_24	OK	2.74103	7.99165	1.54377528241215	2.09286	0.00065	0.035541	yes	up
