test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	regulation
ENSMUSG00000030105	ENSMUSG00000030105	Arl8b	6:108783098-108825278	XH_16_17_18	XH_22_23_24	OK	22.8009	22.0611	-0.0475860440627539	-0.0872384	0.87835	0.998171	no	-
ENSMUSG00000096054	ENSMUSG00000096054	Syne1	10:5020916-5551482	XH_16_17_18	XH_22_23_24	OK	0.714189	1.37546	0.945536366294384	1.41155	0.0137	0.26533	no	-
ENSMUSG00000020495	ENSMUSG00000020495	Smg8	11:87077731-87086774	XH_16_17_18	XH_22_23_24	OK	24.4931	26.8343	0.1317028724647	0.423534	0.461	0.988567	no	-
ENSMUSG00000058979	ENSMUSG00000058979	Hdhd5	6:120509493-120531319	XH_16_17_18	XH_22_23_24	OK	12.0934	11.7861	-0.0371334962359324	-0.0985874	0.8665	0.998171	no	-
ENSMUSG00000038045	ENSMUSG00000038045	Sult6b1	17:78852563-78906992	XH_16_17_18	XH_22_23_24	OK	3.52929	11.9996	1.76553642956428	1.59334	0.0273	0.375967	no	-
ENSMUSG00000118263	ENSMUSG00000118263	AC125059.4	19:5298330-5308738	XH_16_17_18	XH_22_23_24	OK	1.35929	1.70175	0.324165826599961	0.173878	0.8472	0.998171	no	-
ENSMUSG00000027333	ENSMUSG00000027333	Smox	2:131491495-131525922	XH_16_17_18	XH_22_23_24	OK	8.50018	8.51372	0.00229625129775938	0.00487206	0.99225	0.998975	no	-
ENSMUSG00000025237	ENSMUSG00000025237	Parp6	9:59617283-59650285	XH_16_17_18	XH_22_23_24	OK	5.10891	4.54733	-0.167995816694823	-0.285127	0.5802	0.998171	no	-
ENSMUSG00000006299	ENSMUSG00000006299	Aamp	1:74279839-74284738	XH_16_17_18	XH_22_23_24	OK	125.967	137.149	0.122698267509193	0.396393	0.4513	0.986118	no	-
ENSMUSG00000036792	ENSMUSG00000036792	Mbd5	2:48814108-49325405	XH_16_17_18	XH_22_23_24	OK	2.82577	2.84197	0.0082472813889818	0.00462863	0.98615	0.99892	no	-
ENSMUSG00000021287	ENSMUSG00000021287	Xrcc3	12:111758848-111813873	XH_16_17_18	XH_22_23_24	OK	10.8611	10.5308	-0.044555186412969	-0.052655	0.89175	0.998171	no	-
ENSMUSG00000041241	ENSMUSG00000041241	Mul1	4:138434670-138442265	XH_16_17_18	XH_22_23_24	OK	14.8354	16.7165	0.172228990186653	0.237599	0.6848	0.998171	no	-
ENSMUSG00000021368	ENSMUSG00000021368	Tbc1d7	13:43151739-43171501	XH_16_17_18	XH_22_23_24	OK	18.4482	18.7657	0.0246180480982949	0.060436	0.91645	0.998171	no	-
ENSMUSG00000041607	ENSMUSG00000041607	Mbp	18:82475145-82585637	XH_16_17_18	XH_22_23_24	OK	1.88919	2.07559	0.13575368619381	0.190407	0.64255	0.998171	no	-
